stock_code,symbol,name,category,sub_category,reason,avg_turnover_30d_hkd,valid_days
7266,7266.HK,FL2CSOPNASDAQ,Exchange Traded Products,Leveraged and Inverse,avg_turnover_30d_below_15m_hkd,8591287.62,43
7288,7288.HK,FL2 CSOP HSCEI,Exchange Traded Products,Leveraged and Inverse,avg_turnover_30d_below_15m_hkd,9719530.15,43
7300,7300.HK,FI CSOP HSI,Exchange Traded Products,Leveraged and Inverse,avg_turnover_30d_below_15m_hkd,4762704.76,43
7311,7311.HK,XI2CSOPCOIN,Exchange Traded Products,Leveraged and Inverse,avg_turnover_30d_below_15m_hkd,1389864.64,43
7366,7366.HK,XI2CSOPTSLA,Exchange Traded Products,Leveraged and Inverse,avg_turnover_30d_below_15m_hkd,1699493.08,43
7376,7376.HK,FI CSOP BTC,Exchange Traded Products,Leveraged and Inverse,avg_turnover_30d_below_15m_hkd,1551651.52,43
7388,7388.HK,XI2CSOPNVDA,Exchange Traded Products,Leveraged and Inverse,avg_turnover_30d_below_15m_hkd,1069158.05,43
7399,7399.HK,XI2CSOPMSTR,Exchange Traded Products,Leveraged and Inverse,avg_turnover_30d_below_15m_hkd,3165935.76,43
7489,7489.HK,VOYAH AUTO,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,14232428.11,43
7515,7515.HK,FI2 CSOP NIKKEI,Exchange Traded Products,Leveraged and Inverse,avg_turnover_30d_below_15m_hkd,10055630.74,43
7522,7522.HK,FI2CAMNDQ100,Exchange Traded Products,Leveraged and Inverse,avg_turnover_30d_below_15m_hkd,3144341.59,43
7588,7588.HK,FI2 CSOP HSCEI,Exchange Traded Products,Leveraged and Inverse,avg_turnover_30d_below_15m_hkd,7552398.88,43
7630,7630.HK,IMPACT THERAP-B,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,9341223.23,43
7688,7688.HK,TOPNC,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,14763694.67,43
7711,7711.HK,XL2CSOPCOIN,Exchange Traded Products,Leveraged and Inverse,avg_turnover_30d_below_15m_hkd,1326712.84,43
7766,7766.HK,XL2CSOPTSLA,Exchange Traded Products,Leveraged and Inverse,avg_turnover_30d_below_15m_hkd,2611350.05,43
7777,7777.HK,XL2CSOPBRKB,Exchange Traded Products,Leveraged and Inverse,avg_turnover_30d_below_15m_hkd,138530.83,43
7788,7788.HK,XL2CSOPNVDA,Exchange Traded Products,Leveraged and Inverse,avg_turnover_30d_below_15m_hkd,1834701.68,43
7799,7799.HK,XL2CSOPMSTR,Exchange Traded Products,Leveraged and Inverse,avg_turnover_30d_below_15m_hkd,1749129.82,43
8003,8003.HK,GREAT WORLD,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,4874.07,42
8005,8005.HK,YUXING INFOTECH,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,1715.53,42
8006,8006.HK,SINO SPLENDID,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,6124.17,43
8007,8007.HK,GLOBALSTRAT,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,771816.83,43
8013,8013.HK,ECI TECH,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,3840.0,2
8017,8017.HK,TRADEGO,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,1367866.98,43
8018,8018.HK,FINSOFT FIN,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,11132.56,42
8019,8019.HK,HAO WEN HLDGS,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,14165.71,42
8020,8020.HK,UNITAS HOLD,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,616.0,42
8021,8021.HK,WLS HOLDINGS,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,15347.62,43
8023,8023.HK,KWONG MAN KEE,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,16556.0,43
8026,8026.HK,CB GLOBAL,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,827.5,42
8027,8027.HK,KPM HOLDING,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,13242.01,43
8028,8028.HK,TIMELESS,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,11372.63,43
8029,8029.HK,CI FIN TECH GP,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,124292.91,42
8030,8030.HK,FENGYINHE,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,1338873.72,43
8031,8031.HK,ETS GROUP,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,49531.67,43
8033,8033.HK,VODATEL NETWORK,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,3750.67,42
8035,8035.HK,JANCO HOLDINGS,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,59900.33,43
8036,8036.HK,EBROKER GROUP,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,15576.0,43
8037,8037.HK,CH BIOTECH SER,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,263894.17,43
8039,8039.HK,CHINA COME RIDE,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,0.0,42
8040,8040.HK,COOLPOINT INNO,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,15086.67,42
8041,8041.HK,INTELLIMARK AI,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,266223.07,43
8042,8042.HK,KOS TALENT GP,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,37443.0,43
8043,8043.HK,ATLINKS,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,2571.67,42
8047,8047.HK,CHINA OCEAN GP,Equity,Equity Securities (GEM),avg_turnover_30d_below_15m_hkd,0.0,42
