stock_code,symbol,name,category,sub_category,currency
0256,0256.HK,CITYCHAMP,Equity,Equity Securities (Main Board),HKD
0257,0257.HK,EB ENVIRONMENT,Equity,Equity Securities (Main Board),HKD
0258,0258.HK,TOMSON GROUP,Equity,Equity Securities (Main Board),HKD
0259,0259.HK,YEEBO (INT'L H),Equity,Equity Securities (Main Board),HKD
0261,0261.HK,GBA HOLDINGS,Equity,Equity Securities (Main Board),HKD
0262,0262.HK,DESON DEV INT'L,Equity,Equity Securities (Main Board),HKD
0264,0264.HK,CN INT DEV CORP,Equity,Equity Securities (Main Board),HKD
0265,0265.HK,GANGYU SERVICES,Equity,Equity Securities (Main Board),HKD
0266,0266.HK,TIAN TECK LAND,Equity,Equity Securities (Main Board),HKD
0267,0267.HK,CITIC,Equity,Equity Securities (Main Board),HKD
0268,0268.HK,KINGDEE INT'L,Equity,Equity Securities (Main Board),HKD
0269,0269.HK,CRTG,Equity,Equity Securities (Main Board),HKD
0270,0270.HK,GUANGDONG INV,Equity,Equity Securities (Main Board),HKD
0271,0271.HK,ASIASEC PPT,Equity,Equity Securities (Main Board),HKD
0272,0272.HK,SHUI ON LAND,Equity,Equity Securities (Main Board),HKD
0274,0274.HK,RA SILK ROAD,Equity,Equity Securities (Main Board),HKD
0276,0276.HK,MONGOLIA ENERGY,Equity,Equity Securities (Main Board),HKD
0277,0277.HK,TERN PROPERTIES,Equity,Equity Securities (Main Board),HKD
0279,0279.HK,ARTA TECHFIN,Equity,Equity Securities (Main Board),HKD
0280,0280.HK,KING FOOK HOLD,Equity,Equity Securities (Main Board),HKD
0285,0285.HK,BYD ELECTRONIC,Equity,Equity Securities (Main Board),HKD
0286,0286.HK,AIDIGONG,Equity,Equity Securities (Main Board),HKD
0287,0287.HK,WINFAIR INV,Equity,Equity Securities (Main Board),HKD
0288,0288.HK,WH GROUP,Equity,Equity Securities (Main Board),HKD
0289,0289.HK,WING ON CO,Equity,Equity Securities (Main Board),HKD
0290,0290.HK,GOFINTECH QUANT,Equity,Equity Securities (Main Board),HKD
0291,0291.HK,CHINA RES BEER,Equity,Equity Securities (Main Board),HKD
0293,0293.HK,CATHAY PAC AIR,Equity,Equity Securities (Main Board),HKD
0294,0294.HK,YANGTZEKIANG,Equity,Equity Securities (Main Board),HKD
0295,0295.HK,KONG SUN HOLD,Equity,Equity Securities (Main Board),HKD
